id;nombre;nombre_ine
1;Andalucía;Andalucía
2;Aragón;Aragón
3;Asturias;Asturias, Principado de
4;Islas Baleares;Balears, Illes
5;Canarias;Canarias
6;Cantabria;Cantabria
7;Castilla y León;Castilla y León
8;Castilla-La Mancha;Castilla-La Mancha
9;Cataluña;Cataluña
10;Comunidad Valenciana;Comunitat Valenciana
11;Extremadura;Extremadura
12;Galicia;Galicia
13;Madrid;Madrid, Comunidad de
14;Murcia;Murcia, Región de
15;Navarra;Navarra, Comunidad Foral de
16;País Vasco;País Vasco
17;La Rioja;Rioja, La
18;Ceuta;Ceuta
19;Melilla;Melilla
